,Kecamatan,Tahun,luasTanam(Ha),luasPanen(Ha),presentasePanen(%),produksi(Ton),Produktivitas(Ku/Ha)
0,Kapuas Kuala ,2016,11608.0,11186.0,96.3645761543763,30874.95489704281,27.601425797463627
1,Tamban Catur ,2016,6867.0,5232.0,76.19047619047619,15769.045948232417,30.13961381542893
2,Kapuas Timur ,2016,10637.0,10150.0,95.42164144025571,28094.16457973736,27.678979881514643
3,Selat ,2016,2179.6,2064.6,94.72380253257478,6369.024176481078,30.848707626082913
4,Bataguh ,2016,19227.0,16822.0,87.49154834347533,50088.56853557208,29.775632228969254
5,Basarang ,2016,3121.0,3233.0,103.58859339955143,10151.147976045957,31.398539981583536
6,Kapuas Hilir ,2016,5531.2,5307.2,95.95024587792884,15448.111114087305,29.107836738934477
7,Pulau Petak ,2016,10844.0,10439.0,96.26521578753227,32123.605950957084,30.772685076115607
8,Kapuas Murung ,2016,9695.0,9355.0,96.4930376482723,28381.67730537547,30.338511283137862
9,Dadahup ,2016,2648.0,2787.0,105.24924471299093,9138.811161618778,32.79085454473907
10,Kapuas Barat ,2016,8082.0,8498.5,105.153427369463,26236.48452745801,30.871900367662544
11,Mantangai ,2016,1790.0,6050.0,337.9888268156424,22945.392041028834,37.92626783641129
12,Timpah ,2016,500.0,482.0,96.39999999999999,1481.37982621729,30.734021290815143
13,Kapuas Tengah ,2016,400.0,382.0,95.5,1174.0396133091385,30.734021290815143
14,Pasak Talawang ,2016,450.0,443.0,98.44444444444444,1361.5171431831109,30.734021290815146
15,Kapuas Hulu ,2016,946.0,705.0,74.52431289640592,2166.7485010024675,30.734021290815143
16,Mandau Talawang,2016,552.0,512.0,92.7536231884058,1573.5818900897355,30.734021290815146
17,Kapuas Kuala ,2017,11375.0,11798.0,103.71868131868132,42970.13859651428,36.42154483515366
18,Tamban Catur ,2017,5978.0,6607.0,110.52191368350618,23505.86939377142,35.57722021155051
19,Kapuas Timur ,2017,10489.0,10854.0,103.47983601868624,38855.49933794285,35.79832258885466
20,Selat ,2017,2261.0,2428.0,107.3861123396727,8501.46857582857,35.01428573240762
21,Bataguh ,2017,17419.0,19937.0,114.45547964865952,71101.37232468571,35.66302469011672
22,Basarang ,2017,2246.0,2656.0,118.2546749777382,8296.524525524424,31.236914629233524
23,Kapuas Hilir ,2017,5151.0,5407.0,104.96990875558143,19005.344798,35.14951876826336
24,Pulau Petak ,2017,11335.0,11740.0,103.57300397000442,41456.76909577143,35.31240979196885
25,Kapuas Murung ,2017,9899.5,10814.5,109.24289105510378,37912.48505748571,35.05708544776523
26,Dadahup ,2017,3690.5,3888.0,105.3515783769137,13379.418218314284,34.41208389484127
27,Kapuas Barat ,2017,8623.0,9535.5,110.58216398005334,30652.607903122396,32.14577935412133
28,Mantangai ,2017,1703.0,2108.0,123.78156194950087,6628.986008,31.44680269449715
29,Timpah ,2017,355.0,500.0,140.8450704225352,583.7224999999951,11.674449999999903
30,Kapuas Tengah ,2017,279.0,400.0,143.36917562724014,466.9779999999961,11.6744499999999
31,Pasak Talawang ,2017,236.0,450.0,190.67796610169492,525.3502499999955,11.6744499999999
32,Kapuas Hulu ,2017,427.0,946.0,221.54566744730678,1103.982,11.67
33,Mandau Talawang,2017,475.0,552.0,116.21052631578948,644.184,11.67
34,Kapuas Kuala ,2018,13382.0,13073.0,97.69092811238977,55008.36022794382,42.07783999689728
35,Tamban Catur ,2018,6226.0,5975.0,95.96851911339543,24767.17555563558,41.45133984206792
36,Kapuas Timur ,2018,11102.0,10844.0,97.67609439740588,44878.7583478574,41.385797074748616
37,Selat ,2018,2511.0,2465.0,98.16806053365194,9972.733455887648,40.457336535041165
38,Bataguh ,2018,21838.0,21239.0,97.2570748237018,85121.23290817428,40.077796934024335
39,Basarang ,2018,3869.0,3498.0,90.41095890410958,13887.025889690643,39.69990248625112
40,Kapuas Hilir ,2018,5487.0,5380.0,98.04993621286677,22284.49365970472,41.42099193253665
41,Pulau Petak ,2018,9432.0,9382.0,99.46988973706532,38691.654224702914,41.24030507855778
42,Kapuas Murung ,2018,10509.0,10239.0,97.4307736226092,43131.57016132517,42.124787734471305
43,Dadahup ,2018,4827.8,3950.5,81.82816189568747,15899.78692581923,40.247530504541785
44,Kapuas Barat ,2018,7627.0,7492.0,98.22997246623837,30477.761376672563,40.680407603674006
45,Mantangai ,2018,1376.0,1029.0,74.78197674418605,4550.406142599928,44.22163403887199
46,Timpah ,2018,402.0,355.0,88.30845771144278,815.7900000000001,22.98
47,Kapuas Tengah ,2018,394.0,279.0,70.81218274111674,641.142,22.98
48,Pasak Talawang ,2018,383.0,451.0,117.75456919060052,1180.49456778679,26.175045848931042
49,Kapuas Hulu ,2018,640.0,847.0,132.34375,2222.106556199304,26.23502427626097
50,Mandau Talawang,2018,468.0,475.0,101.49572649572649,1091.55,22.98
51,Kapuas Kuala ,2019,12936.0,8294.991546256495,64.12331127285479,28907.359749897067,34.84917324954101
52,Tamban Catur ,2019,5957.0,3867.3016434318483,64.9202894650302,13492.940907372087,34.88980729053872
53,Kapuas Timur ,2019,11044.0,7047.193688675198,63.81015654360013,24983.94640902642,35.45233395411777
54,Selat ,2019,2446.0,1554.143439382691,63.53816187173717,4761.4616303336725,30.637208314728884
55,Bataguh ,2019,20150.5,12677.227734708169,62.9127204521385,43398.10706124826,34.23312097047162
56,Basarang ,2019,3551.5,2447.028732681881,68.90127362190289,5964.164994571247,24.37308935083355
57,Kapuas Hilir ,2019,5678.5,3607.655083246519,63.53183205505889,12036.150281589036,33.36280770709859
58,Pulau Petak ,2019,9900.5,6199.76210974898,62.62069703296783,20869.6972789333,33.66209365697467
59,Kapuas Murung ,2019,10956.0,6965.003410630922,63.572502835258504,23402.559918725296,33.600213149939265
60,Dadahup ,2019,4418.5,3215.8191592066437,72.78078893757257,9809.304429890915,30.503283749049224
61,Kapuas Barat ,2019,6636.0,4459.4452375235705,67.20080225321836,11416.824181007323,25.601444962125694
62,Mantangai ,2019,458.0,734.7312734261119,160.42167542054847,2373.837644785611,32.308923420616246
63,Timpah ,2019,577.0,131.37991414653357,22.769482521063008,287.63668936534094,21.893505657533588
64,Kapuas Tengah ,2019,479.0,245.32552688973567,51.21618515443333,537.1035810897835,21.89350565753358
65,Pasak Talawang ,2019,481.0,104.60580841998882,21.747569318084995,229.0187858453899,21.89350565753358
66,Kapuas Hulu ,2019,903.0,136.98379674046154,15.169855674469717,299.90555289277256,21.893505657533584
67,Mandau Talawang,2019,567.0,291.40189488425455,51.39363225471861,637.9809034264434,21.893505657533588
68,Kapuas Kuala ,2020,11202.4,7315.295310986491,65.30114360303588,31389.674066108146,42.90964715937783
69,Tamban Catur ,2020,5724.8,3818.899451681248,66.70799768867468,15861.478381040455,41.53416077518755
70,Kapuas Timur ,2020,10541.3,6866.555154478603,65.13954782122322,29311.13381055718,42.68681041823345
71,Selat ,2020,2142.8,1398.3376731215583,65.25749827896016,5763.269501350891,41.215148616323425
72,Bataguh ,2020,14977.8,11762.067524319073,78.5300079071631,49086.78174205938,41.73312356910747
73,Basarang ,2020,1028.0,832.7070014457922,81.00262659978523,3261.049999193757,39.16203410721587
74,Kapuas Hilir ,2020,5378.2,3529.561352503903,65.62718665174042,14666.784192439596,41.554127347963075
75,Pulau Petak ,2020,9701.0,6201.103487617831,63.92231200513175,25412.2261272665,40.98016776854126
76,Kapuas Murung ,2020,10258.6,6692.0955738171615,65.23400438478117,24194.97486212011,36.15455666351061
77,Dadahup ,2020,2952.5,1960.9178982604615,66.41550883185306,7556.82556848171,38.537184933573215
78,Kapuas Barat ,2020,3653.4,2577.173001824592,70.5417693607213,10631.06451955578,41.250876491524544
79,Mantangai ,2020,0.0,264.73981752902466,264.73981752902466,1054.104104698285,39.816606150781176
80,Timpah ,2020,30.0,374.4909897382869,1248.303299127623,1004.2588337874826,26.816635414627974
81,Kapuas Tengah ,2020,0.0,310.8859342888032,310.8859342888032,833.6914755358823,26.816635414627967
82,Pasak Talawang ,2020,0.0,312.18399664491506,312.18399664491506,837.1724420308129,26.816635414627974
83,Kapuas Hulu ,2020,150.0,586.0751537845288,390.7167691896858,1571.6563724611729,26.816635414627974
84,Mandau Talawang,2020,9.0,368.00067795772736,4088.8964217525263,986.8540013128293,26.816635414627967
85,Kapuas Kuala ,2021,11200.9,8120.433395731453,72.49804386907707,25845.785672880982,31.828086523641645
86,Tamban Catur ,2021,5188.9,4512.466354472833,86.96383346128916,14362.31695651831,31.828086523641645
87,Kapuas Timur ,2021,11972.1,9407.483093316005,78.57838719452731,29942.218586375777,31.828086523641645
88,Selat ,2021,2024.0,1511.1990648662465,74.66398541829281,4809.857459100924,31.828086523641645
89,Bataguh ,2021,16259.9,14415.997417724571,88.65981597503412,45883.36131359322,31.828086523641645
90,Basarang ,2021,438.9,416.93001294357066,94.9943068907657,1327.0084526270998,31.828086523641648
91,Kapuas Hilir ,2021,4477.9,3262.8980798136513,72.86670269129841,10385.180240213309,31.82808652364165
92,Pulau Petak ,2021,9673.7,7598.4194695090055,78.5471894880863,24184.315231845587,31.828086523641645
93,Kapuas Murung ,2021,4365.8,3644.883997870235,83.48719588323411,11600.96832528507,31.82808652364164
94,Dadahup ,2021,1584.6,1328.5099598203362,83.83882114226532,4228.392994868135,31.82808652364165
95,Kapuas Barat ,2021,1349.0,1161.1990231571804,86.07850431113272,3695.8742980214893,31.82808652364164
96,Mantangai ,2021,265.0,459.08527261164596,173.23972551382866,1461.1805778413081,31.828086523641648
97,Timpah ,2021,35.0,43.95836007775683,125.59531450787667,139.91104879922392,31.828086523641645
98,Kapuas Tengah ,2021,25.0,67.75123776581967,271.00495106327867,215.6392257694326,31.828086523641648
99,Pasak Talawang ,2021,223.0,165.3451864918345,74.14582353893924,526.2620901929772,31.82808652364164
100,Kapuas Hulu ,2021,173.0,149.49971730131176,86.41602156145188,475.8289937526117,31.828086523641648
101,Mandau Talawang,2021,110.0,180.94035652655936,164.49123320596306,575.8985323145898,31.828086523641645
